"category_id","category","recipe_id"
"486","한식","1001147"
"487","한식","1001148"
"488","한식","1001149"
"489","한식","1001150"
"490","한식","1001151"
"491","한식","1001152"
"492","한식","1001153"
"493","한식","1001154"
"494","한식","1001155"
"495","한식","1001156"
"496","한식","1001157"
"497","한식","1001158"
"498","한식","1001159"
"499","한식","1001160"
"500","한식","1001161"
"501","한식","1001162"
"502","한식","1001163"
"503","한식","1001164"
"504","한식","1001165"
"505","한식","1001166"
"506","일식","1001167"
"507","일식","1001168"
"508","중식","1001169"
"509","퓨전","1001170"
"510","한식","1001171"
"511","한식","1001172"
"512","한식","1001173"
"513","한식","1001174"
"514","한식","1001175"
"515","한식","1001176"
"516","한식","1001177"
"517","한식","1001178"
"518","한식","1001179"
"519","한식","1001180"
"520","한식","1001181"
"521","한식","1001182"
"522","한식","1001183"
"523","한식","1001184"
"524","한식","1001185"
"525","한식","1001186"
"526","한식","1001187"
"527","한식","1001188"
"528","한식","1001189"
"529","한식","1001190"
"530","한식","1001191"
"531","한식","1001192"
"532","한식","1001193"
"533","한식","1001194"
"534","한식","1001195"
"535","한식","1001196"
"536","한식","1001197"
"537","한식","1001198"
"538","한식","1001199"
"539","한식","1001200"
"540","한식","1001201"
"541","한식","1001202"
"542","한식","1001203"
"543","한식","1001204"
"544","한식","1001205"
"545","한식","1001206"
"546","한식","1001207"
"547","한식","1001208"
"548","한식","1001209"
"549","한식","1001210"
"550","한식","1001211"
"551","한식","1001212"
"552","한식","1001213"
"553","한식","1001214"
"554","한식","1001215"
"555","한식","1001216"
"556","한식","1001217"
"557","한식","1001218"
"558","한식","1001219"
"559","한식","1001220"
"560","한식","1001221"
"561","한식","1001222"
"562","한식","1001223"
"563","한식","1001224"
"564","한식","1001225"
"565","한식","1001226"
"566","한식","1001227"
"567","한식","1001228"
"568","한식","1001229"
"569","한식","1001230"
"570","한식","1001231"
"571","일식","1001232"
"572","일식","1001233"
"573","일식","1001234"
"574","일식","1001235"
"575","일식","1001236"
"576","일식","1001237"
"577","중식","1001238"
"578","아시안","1001239"
"579","퓨전","1001240"
"580","퓨전","1001241"
"581","한식","1001242"
"582","한식","1001243"
"583","한식","1001244"
"584","한식","1001245"
"585","한식","1001246"
"586","한식","1001247"
"587","한식","1001248"
"588","한식","1001249"
"589","한식","1001250"
"590","한식","1001251"
"591","한식","1001252"
"592","한식","1001253"
"593","한식","1001254"
"594","한식","1001255"
"595","한식","1001256"
"596","한식","1001257"
"597","한식","1001258"
"598","한식","1001259"
"599","한식","1001260"
"600","한식","1001261"
"601","한식","1001262"
"602","한식","1001263"
"603","한식","1001264"
"604","한식","1001265"
"605","한식","1001266"
"606","한식","1001267"
"607","한식","1001268"
"608","한식","1001269"
"609","한식","1001270"
"610","한식","1001271"
"611","한식","1001272"
"612","한식","1001273"
"613","양식","1001274"
"614","양식","1001275"
"615","양식","1001276"
"616","일식","1001277"
"617","일식","1001278"
"618","일식","1001279"
"619","일식","1001280"
"620","일식","1001281"
"621","일식","1001282"
"622","중식","1001283"
"623","퓨전","1001284"
"624","퓨전","1001285"
"625","퓨전","1001286"
"626","퓨전","1001287"
"627","퓨전","1001288"
"628","퓨전","1001289"
"629","한식","1001290"
"630","한식","1001291"
"631","한식","1001292"
"632","한식","1001293"
"633","한식","1001294"
"634","한식","1001295"
"635","한식","1001296"
"636","한식","1001297"
"637","한식","1001298"
"638","한식","1001299"
"639","한식","1001300"
"640","한식","1001301"
"641","한식","1001302"
"642","한식","1001303"
"643","한식","1001304"
"644","한식","1001305"
"645","한식","1001306"
"646","한식","1001307"
"647","한식","1001308"
"648","한식","1001309"
"649","한식","1001310"
"650","한식","1001311"
"651","한식","1001312"
"652","한식","1001313"
"653","한식","1001314"
"654","한식","1001315"
"655","한식","1001316"
"656","한식","1001317"
"657","한식","1001318"
"658","한식","1001319"
"659","한식","1001320"
"660","한식","1001321"
"661","한식","1001322"
"662","한식","1001323"
"663","한식","1001324"
"664","한식","1001325"
"665","한식","1001326"
"666","한식","1001327"
"667","한식","1001328"
"668","한식","1001329"
"669","한식","1001330"
"670","한식","1001331"
"671","한식","1001332"
"672","한식","1001333"
"673","한식","1001334"
"674","한식","1001335"
"675","한식","1001336"
"676","한식","1001337"
"677","한식","1001338"
"678","한식","1001339"
"679","한식","1001340"
"680","한식","1001341"
"681","한식","1001342"
"682","한식","1001343"
"683","양식","1001344"
"684","양식","1001345"
"685","양식","1001346"
"686","양식","1001347"
"687","양식","1001348"
"688","양식","1001349"
"689","양식","1001350"
"690","양식","1001351"
"691","양식","1001352"
"692","양식","1001353"
"693","양식","1001354"
"694","양식","1001355"
"695","양식","1001356"
"696","양식","1001357"
"697","양식","1001358"
"698","양식","1001359"
"699","양식","1001360"
"700","양식","1001361"
"701","양식","1001362"
"702","양식","1001363"
"703","양식","1001364"
"704","양식","1001365"
"705","양식","1001366"
"706","양식","1001367"
"707","양식","1001368"
"708","양식","1001369"
"709","양식","1001370"
"710","양식","1001371"
"711","양식","1001372"
"712","양식","1001373"
"713","양식","1001374"
"714","양식","1001375"
"715","양식","1001376"
"716","양식","1001377"
"717","양식","1001378"
"718","양식","1001379"
"719","양식","1001380"
"720","양식","1001381"
"721","양식","1001382"
"722","양식","1001383"
"723","양식","1001384"
"724","양식","1001385"
"725","양식","1001386"
"726","양식","1001387"
"727","일식","1001388"
"728","일식","1001389"
"729","일식","1001390"
"730","일식","1001391"
"731","일식","1001392"
"732","일식","1001393"
"733","일식","1001394"
"734","중식","1001395"
"735","아시안","1001396"
"736","이탈리아","1001397"
"737","이탈리아","1001398"
"738","멕시코","1001399"
"739","퓨전","1001400"
"740","퓨전","1001401"
"741","퓨전","1001402"
"742","퓨전","1001403"
"743","퓨전","1001404"
"744","퓨전","1001405"
"745","퓨전","1001406"
"746","퓨전","1001407"
"747","퓨전","1001408"
"748","퓨전","1001409"
"749","퓨전","1001410"
"750","퓨전","1001411"
"751","퓨전","1001412"
"752","퓨전","1001413"
"753","퓨전","1001414"
"754","퓨전","1001415"
"755","퓨전","1001416"
"756","퓨전","1001417"
"757","퓨전","1001418"
"758","퓨전","1001419"
"759","퓨전","1001420"
"760","퓨전","1001421"
"761","퓨전","1001422"
"762","퓨전","1001423"
"763","퓨전","1001424"
"764","퓨전","1001425"
"765","퓨전","1001426"
"766","퓨전","1001427"
"767","퓨전","1001428"
"768","퓨전","1001429"
"769","한식","1001430"
"770","한식","1001431"
"771","한식","1001432"
"772","한식","1001433"
"773","한식","1001434"
"774","한식","1001435"
"775","한식","1001436"
"776","한식","1001437"
"777","한식","1001438"
"778","한식","1001439"
"779","한식","1001440"
"780","한식","1001441"
"781","한식","1001442"
"782","한식","1001443"
"783","한식","1001444"
"784","한식","1001445"
"785","한식","1001446"
"786","한식","1001447"
"787","한식","1001448"
"788","한식","1001449"
"789","한식","1001450"
"790","한식","1001451"
"791","한식","1001452"
"792","한식","1001453"
"793","한식","1001454"
"794","한식","1001455"
"795","한식","1001456"
"796","한식","1001457"
"797","한식","1001458"
"798","한식","1001459"
"799","한식","1001460"
"800","한식","1001461"
"801","한식","1001462"
"802","한식","1001463"
"803","한식","1001464"
"804","한식","1001465"
"805","한식","1001466"
"806","한식","1001467"
"807","한식","1001468"
"808","한식","1001469"
"809","한식","1001470"
"810","한식","1001471"
"811","한식","1001472"
"812","한식","1001473"
"813","한식","1001474"
"814","한식","1001475"
"815","한식","1001476"
"816","한식","1001477"
"817","한식","1001478"
"818","한식","1001479"
"819","한식","1001480"
"820","한식","1001481"
"821","한식","1001482"
"822","한식","1001483"
"823","한식","1001484"
"824","양식","1001485"
"825","양식","1001486"
"826","양식","1001487"
"827","양식","1001488"
"828","양식","1001489"
"829","양식","1001490"
"830","양식","1001491"
"831","양식","1001492"
"832","양식","1001493"
"833","양식","1001494"
"834","양식","1001495"
"835","일식","1001496"
"836","일식","1001497"
"837","중식","1001498"
"838","중식","1001499"
"839","중식","1001500"
"840","중식","1001501"
"841","중식","1001502"
"842","중식","1001503"
"843","중식","1001504"
"844","중식","1001505"
"845","중식","1001506"
"846","중식","1001507"
"847","중식","1001508"
"848","중식","1001509"
"849","중식","1001510"
"850","중식","1001511"
"851","중식","1001512"
"852","중식","1001513"
"853","퓨전","1001514"
"854","퓨전","1001515"
"855","퓨전","1001516"
"856","퓨전","1001517"
"857","퓨전","1001518"
"858","퓨전","1001519"
"859","퓨전","1001520"
"860","퓨전","1001521"
"861","퓨전","1001522"
"862","퓨전","1001523"
"863","퓨전","1001524"
"864","퓨전","1001525"
"894","한식","1001562"
"895","한식","1001563"
"896","한식","1001564"
"897","한식","1001565"
"898","한식","1001566"
"899","한식","1001567"
"900","한식","1001568"
"901","한식","1001569"
"902","한식","1001570"
"903","한식","1001571"
"904","한식","1001572"
"905","한식","1001573"
"906","한식","1001574"
"907","한식","1001575"
"908","한식","1001576"
"909","한식","1001577"
"910","한식","1001578"
"911","한식","1001579"
"912","양식","1001580"
"913","양식","1001581"
"914","양식","1001582"
"915","양식","1001583"
"916","양식","1001584"
"917","양식","1001585"
"918","양식","1001586"
"919","양식","1001587"
"920","양식","1001588"
"921","양식","1001589"
"922","양식","1001590"
"923","양식","1001591"
"924","양식","1001592"
"925","양식","1001593"
"926","양식","1001594"
"927","양식","1001595"
"928","양식","1001596"
"929","양식","1001597"
"930","양식","1001598"
"931","양식","1001599"
"932","양식","1001600"
"933","양식","1001601"
"934","양식","1001602"
"935","양식","1001603"
"936","양식","1001604"
"937","양식","1001605"
"938","양식","1001606"
"939","양식","1001607"
"940","양식","1001608"
"941","양식","1001609"
"942","양식","1001610"
"943","일식","1001611"
"944","일식","1001612"
"945","일식","1001613"
"946","일식","1001614"
"947","일식","1001615"
"948","일식","1001616"
"949","중식","1001617"
"950","중식","1001618"
"951","중식","1001619"
"952","중식","1001620"
"953","중식","1001621"
"954","중식","1001622"
"955","중식","1001623"
"956","중식","1001624"
"957","중식","1001625"
"958","중식","1001626"
"959","중식","1001627"
"960","중식","1001628"
"961","중식","1001629"
"962","중식","1001630"
"963","중식","1001631"
"964","중식","1001632"
"965","중식","1001633"
"966","중식","1001634"
"967","중식","1001635"
"968","중식","1001636"
"969","중식","1001637"
"970","중식","1001638"
"971","중식","1001639"
"972","중식","1001640"
"973","퓨전","1001641"
"974","퓨전","1001642"
"975","퓨전","1001643"
"976","퓨전","1001644"
"977","퓨전","1001645"
"978","퓨전","1001646"
"979","퓨전","1001647"
"980","퓨전","1001648"
"981","퓨전","1001649"
"982","퓨전","1001650"
"983","퓨전","1001651"
"984","퓨전","1001652"
"985","퓨전","1001653"
"986","퓨전","1001654"
"987","퓨전","1001655"
"988","퓨전","1001656"
"989","퓨전","1001657"
"990","퓨전","1001658"
"991","퓨전","1001659"
"992","퓨전","1001660"
"993","퓨전","1001661"
"994","퓨전","1001662"
"995","퓨전","1001663"
"996","퓨전","1001664"
"997","퓨전","1001665"
"998","퓨전","1001666"
"999","퓨전","1001667"
"1000","퓨전","1001668"
"1001","퓨전","1001669"
"1002","퓨전","1001670"
"1003","퓨전","1001671"
"1004","퓨전","1001672"
"1005","퓨전","1001673"
"1006","퓨전","1001674"
"1007","한식","1001675"
"1008","한식","1001676"
"1009","한식","1001677"
"1010","한식","1001678"
"1011","한식","1001679"
"1012","한식","1001680"
"1013","한식","1001681"
"1014","한식","1001682"
"1015","한식","1001683"
"1016","한식","1001684"
"1017","한식","1001685"
"1018","한식","1001686"
"1019","한식","1001687"
"1020","한식","1001688"
"1021","한식","1001689"
"1022","한식","1001690"
"1023","한식","1001691"
"1024","한식","1001692"
"1025","한식","1001693"
"1026","한식","1001694"
"1027","한식","1001695"
"1028","한식","1001696"
"1029","한식","1001697"
"1030","한식","1001698"
"1031","한식","1001699"
"1032","한식","1001700"
"1033","한식","1001701"
"1034","한식","1001702"
"1035","한식","1001703"
"1036","한식","1001704"
"1037","한식","1001705"
"1038","한식","1001706"
"1039","한식","1001707"
"1040","한식","1001708"
"1041","한식","1001709"
"1042","한식","1001710"
"1043","한식","1001711"
"1044","한식","1001712"
"1045","한식","1001713"
"1046","한식","1001714"
"1047","한식","1001715"
"1048","한식","1001716"
"1049","한식","1001717"
"1050","한식","1001718"
"1051","한식","1001719"
"1052","한식","1001720"
"1053","한식","1001721"
"1054","한식","1001722"
"1055","한식","1001723"
"1056","한식","1001724"
"1057","한식","1001725"
"1058","한식","1001726"
"1059","한식","1001727"
"1060","한식","1001728"
"1061","일식","1001729"
"1062","일식","1001730"
"1063","일식","1001731"
"1064","중식","1001732"
"1065","아시안","1001733"
"1066","퓨전","1001734"
"1067","퓨전","1001735"
"1068","퓨전","1001736"
"1069","퓨전","1001737"
"1070","퓨전","1001738"
"1071","퓨전","1001739"
